categoria,metrica,media,std,min,max,n
TODAS,faithfulness,0.757,0.255,0.0,1.0,143
TODAS,answer_relevancy,0.848,0.256,0.0,0.989,143
TODAS,context_precision,0.798,0.218,0.0,1.0,143
TODAS,context_recall,0.915,0.264,0.0,1.0,143
ADV,faithfulness,0.25,nan,0.25,0.25,10
ADV,answer_relevancy,0.0,0.0,0.0,0.0,10
ADV,context_precision,nan,nan,nan,nan,10
ADV,context_recall,0.0,0.0,0.0,0.0,10
COLOQ,faithfulness,nan,nan,nan,nan,10
COLOQ,answer_relevancy,0.879,nan,0.879,0.879,10
COLOQ,context_precision,nan,nan,nan,nan,10
COLOQ,context_recall,0.75,0.5,0.0,1.0,10
COMP,faithfulness,0.486,0.121,0.4,0.571,8
COMP,answer_relevancy,0.0,0.0,0.0,0.0,8
COMP,context_precision,nan,nan,nan,nan,8
COMP,context_recall,0.5,nan,0.5,0.5,8
SINT,faithfulness,0.778,0.162,0.5,1.0,12
SINT,answer_relevancy,0.937,0.023,0.901,0.967,12
SINT,context_precision,0.918,0.119,0.667,1.0,12
SINT,context_recall,0.9,0.316,0.0,1.0,12
original,faithfulness,0.764,0.261,0.0,1.0,103
original,answer_relevancy,0.886,0.182,0.0,0.989,103
original,context_precision,0.789,0.221,0.0,1.0,103
original,context_recall,0.956,0.188,0.0,1.0,103
